breed,breed_info_text
daniff,"The Daniff is a mixed breed dog — a cross between the English Mastiff and Great Dane dog breeds. Lovable, intelligent, and protective, these pups inherited the best qualities from both of their parents."
danish-swedish-farmdog,"The Danish-Swedish Farmdog (DSF) or Dansk-svensk gårdshund dog breed is also known as Danish Pinscher. These dogs come from Denmark and southern Sweden. They traditionally lived on farms and were bred to perform several jobs, including hunting, tracking, and keeping watch."
deutscher-wachtelhund,"The Deutscher Wachtelhund is a rare purebred dog originating from Germany. Friendly, intelligent, and versatile, this adorable pup has some of the best qualities you can find in any dog breed."
doberdor,"The Doberdor is a mixed breed dog–a cross between the Doberman Pinscher and Labrador Retriever dog breeds. Intelligent, protective, and loyal, these pups inherited some of the best qualities from both of their parents."
doberman-pinscher,"Doberman Pinschers originated in Germany during the late 19th century, mostly bred as guard dogs. Their exact ancestry is unknown, but they’re believed to be a mixture of many dog breeds, including the Rottweiler, Black and Tan Terrier, and German Pinscher."
docker,"The Docker is a mixed breed dog — a cross between the Dachshund and Cocker Spaniel dog breeds. They range in size from small to medium and enjoy lounging around with intervals of playtime. Fetch, hiking, or squirrel chasing would be ideal. These pups inherited some of the best qualities from both of their parents."
dogo-argentino,"The Dogo Argentino, sometimes called the Argentinian Mastiff or the Argentine Dogo, is a strong, athletic, and loyal breed. They can be both fierce hunters and gentle protectors of their humans. They have a high prey drive, a strong will, and, at times, a distrust of strangers and other animals, all of which require an experienced dog owner to handle the breed."
dogue-de-bordeaux,"This dog breed‘s most famous member co-starred with Tom Hanks in the 1989 movie, Turner and Hooch. Loyal, self-assured, and territorial, the Dogue de Bordeaux requires lots of training and socialization."
dorgi,"The Dorgi is a mixed breed dog–a cross between the Dachshund and Corgi dog breeds. Loyal, friendly, and intelligent, these pups inherited some of the best qualities from both of their parents."
dorkie,"The Dorkie is a mixed breed dog — a cross between the Dachshund and Yorkshire Terrier. Laid-back and loyal, these pint-sized pups inherited some of the best qualities from both of their parents."
doxiepoo,"If you were the type of kid who wasn’t afraid to choose the “mystery” flavor of candy in a bag, a Dachshund Poodle — or Doxiepoo — may be for you. While this mixed breed can have famously endless combinations of traits, they are known for being affectionate, intelligent, and playful."
doxle,"A cross between Dachshund and Beagle dog breeds, the Doxle is an adorable family watchdog. Affectionate, playful, and inquisitive, Doxles combine some of the best characteristics of both parents."
drentsche-patrijshond,"The Drentsche Patrijshond is a purebred dog hailing from the Netherlands. Intelligent, loyal, and sensitive, these pups have some of the best qualities of any dog breed."
drever,"The Drever is a purebred dog from the country of Sweden. Loyal, hardworking, and alert, these pups have some of the best qualities of any dog around."
dutch-shepherd,"Originally used by shepherds in the Netherlands for all-around farm work, the Dutch Shepherd is an intelligent, highly trainable jack-of-all-trades. In modern times, they find jobs as police dogs, service animals, and family-friendly companions."
english-cocker-spaniel,"The English Cocker Spaniel is a medium-size dog breed with long ears and a happy disposition. The “Cocker” in their name comes from their days of hunting woodcock in England, although English Cockers have been used to hunt many other types of birds as well."
english-foxhound,"The English Foxhound was originally a hunting dog breed, designed to pursue foxes in the English countryside. Today they also enjoy life as a family companion and compete in the conformation ring. Many English Foxhounds also compete in Foxhound Performance Trials, which grade the dogs on their pack hunting skills."
english-setter,"The English Setter dog breed was named for these dogs’ practice of “setting,” or crouching low, when they found birds so hunters could throw their nets over them. After the development of the gun, breeders developed the dog so they would stand in the more traditional Pointer style."
english-springer-spaniel,"The English Springer Spaniel dog breed was developed as a gun dog to flush, or spring, game in the field, but they’re also popular companions."
english-toy-spaniel,"Nicknamed “Charlies” after the king who loved them, the English Toy Spaniel dog breed is quieter and more reclusive than their Cavalier cousins, but they can have a mischievous spark. They tend to prefer a single person and are not a “hail fellow, well met” type of dog."
entlebucher-mountain-dog,"The Entlebucher Mountain Dog has the independent spirit of other herding breeds, but still relishes spending time with their people — especially if they give this dog a job to do. They can be territorial and will bark to warn you of visitors."
estrela-mountain-dog,"The Estrela Mountain Dog is a purebred dog from the Estrela Mountains of Portugal. Courageous, protective, and loyal, these pups have some of the best qualities of most dog breeds around today."
eurasier,"The Eurasier is a breed of medium-sized dogs of the Spitz type that first came from Germany. These dogs are known to be very smart, loyal, and even-tempered."
field-spaniel,"The sturdy, medium-sized Field Spaniel dog breed was originally developed to retrieve game from land or water. Today, while they retain their excellent hunting skills, they’re mainly family companions and show dogs and are rarely seen in the field."
fila-brasileiro,"The Fila Brasileiro was developed in Brazil centuries ago as a large game hunting dog and working dog. These large dogs can be intimidating, but there is a reason why the saying, “faithful as a Fila” exists in Brazil."
finnish-lapphund,"Believe it or not, the hard-working Finnish Lapphund dog breed earned their keep herding reindeer in their native Lapland, in the far north of Finland. Friendly and gentle, the breed retains a strong herding instinct."
finnish-spitz,"Finnish Spitz were originally were bred to hunt a variety of small and large game, and then bark when they found something. Today they’re considered “talkative” companions who will keep you apprised of just about everything going on in your surroundings."
flat-coated-retriever,"The Flat-Coated Retriever was originally developed as a dual-purpose retriever of game on land and from water, and they’re still popular for that purpose today."
fox-terrier,"The Fox Terrier was originally bred to flush foxes out of their hiding places during fox hunts. Today they’re primarily family companions and show dogs, although you’ll occasionally find them in the hunt country of the northeastern United States, still performing their traditional role."
french-bulldog,"The French Bulldog has enjoyed a long history as a companion dog. Created in England to be a miniature Bulldog, they accompanied English lacemakers to France, where they acquired their “Frenchie” moniker."
french-bullhuahua,"The French Bullhuahua is a mixed breed dog–a cross between the Chihuahua and French Bulldog breeds. Compact, spunky, and loyal, these pups inherited some of the best qualities from both of their parents."
french-spaniel,"The French Spaniel is a purebred dog from France and Canada. These dogs are sociable, intelligent, and gentle, which make up some of the best qualities in any pooch."
frenchton,"The Frenchton is a mixed breed dog — a cross between the Boston Terrier and French Bulldog breeds. Sturdy, sociable, playful, and chill, these pups inherited some of the best qualities from both of their parents."
frengle,"The Frengle is a mixed dog breed–a cross between the French Bulldog and Beagle dog breeds. Charismatic, affectionate, and even-tempered, these pups inherited some of the best qualities from both of their parents."
german-longhaired-pointer,"The German Longhaired Pointer is a multipurpose hunting dog breed that Germans started selectively breeding for their versatility and athleticism. Today, the German Longhaired Pointer, or GLP, is a gentle, loyal breed."
german-pinscher,"The German Pinscher dog breed is muscular and agile, powerful yet graceful. A medium-sized dog with an elegant appearance, they’re admired as much for their beauty as for their intelligence."
german-shepherd-dog,The German Shepherd Dog is one of America’s most popular dog breeds — for good reasons. They’re intelligent and capable working dogs. Their devotion and courage are unmatched. And they’re amazingly versatile.
german-shepherd-pit-bull,"The German Shepherd Pit Bull is a mixed breed dog–a cross between the German Shepherd Dog and American Pit Bull Terrier breeds. Medium to large in size, energetic, and loyal, these pups inherited some of the best traits from both of their parents."
german-shepherd-rottweiler-mix,"The German Shepherd Rottweiler Mix is a a cross between the German Shepherd and Rottweiler dog breeds. Eenergetic, loyal, and as eager to play as they are to snuggle, these mixed breed pups inherited some of the best qualities from both of their parents."
german-sheprador,"The German Sheprador is a mixed breed dog — a cross between the German Shepherd and Labrador Retriever dog breeds. Large, energetic, and loyal, these pups inherited some of the best qualities from both of their parents."
german-shorthaired-pointer,"The versatile German Shorthaired Pointer sporting dog breed hunts many types of game, retrieves on land or from water, and is an affectionate companion. They have a striking, easy-care coat, but they need plenty of vigorous exercise."
german-spitz,"The German Spitz is one of the oldest dog breeds originating from Europe. Attentive, energetic, and devoted, these pups have some of the best qualities among any dog breed around."
german-wirehaired-pointer,"The German Wirehaired Pointer was developed in the late 19th and early 20th centuries to be a versatile hunting dog breed, a job at which they still excel today. They can hunt any game on any terrain and point and retrieve from land or water."
giant-schnauzer,"The Giant Schnauzer was created to be a working dog breed, so they have intelligence and drive. They can be a loyal and courageous companion for the person who can provide them with the training, exercise, and attention they need."
glen-of-imaal-terrier,"The Glen of Imaal Terrier is a strong, independent dog breed named for the remote valley in Ireland where they originated. Bred to hunt fox and badger, and to keep homes free of rodents, the Glen is a skilled and cunning hunter. They’re also an affectionate family dog, gentle, and loving with their people."
goberian,"The Goberian is a mixed breed dog — a cross between the Golden Retriever and Siberian Husky dog breeds. Friendly, energetic, and smart, these pups inherited some of the best qualities from both of their parents."
goldador,"Loving, devoted, and energetic, Goldador mixed breed dogs are prized for their good-natured trainability. As a cross between the Golden Retriever and Labrador Retriever, this mix inherited some of the best traits from both purebred parents."
golden-cocker-retriever,"The Golden Cocker Retriever is a mixed breed dog–a cross between the Golden Retriever and Cocker Spaniel dog breeds. Sweet, playful, and intelligent, these pups inherited some of the best qualities from both of their parents."
golden-mountain-dog,"The Golden Mountain Dog is a mixed breed dog–a cross between the Golden Retriever and Bernese Mountain Dog breeds. Gentle, friendly and intelligent, these pups inherited some of the best qualities from both of their parents."
golden-retriever,"The Golden Retriever is one of the most popular dog breeds in the United States. The breed’s friendly, tolerant attitude makes them great family pets, and their intelligence makes them highly capable working dogs."
golden-retriever-corgi,"The Golden Retriever Corgi is a mixed breed dog — a cross between the Corgi and Golden Retriever dog breeds. Loyal, silly, and active, these pups inherited some of the best qualities from both of their parents."
golden-shepherd,"The Golden Shepherd is a mixed breed dog–a cross between the Golden Retriever and German Shepherd dog breeds. Large, energetic, and loyal, these pups inherited some of the best qualities from both of their parents."
goldendoodle,"The Goldendoodle is a “designer dog,” a hybrid dog breed resulting from mixing the Poodle with the Golden Retriever. Like all other designer “breeds,” this Doodle is not truly a breed of its own, but is a crossbreed — and in this case, a cross that is enjoying growing popularity."
gollie,"The Gollie is a mixed breed dog–a cross between the Golden Retriever and Collie dog breeds. Loving, clever, and energetic, these pups inherited some of the best qualities from both of their parents."
gordon-setter,"Originally bred to hunt pheasant and quail, Gordon Setters are still fine hunting companions and field trial competitors. Canines of this breed also compete in obedience, conformation, and agility, and they’re terrific family companion dogs."
great-dane,"Oh, baby! A Great Dane is truly a great dog breed–large and noble, commonly referred to as a gentle giant or as the “Apollo of dogs.” Apollo is the Greek god of the sun, the brightest fixture in the sky."
great-pyrenees,"The Great Pyrenees dog breed‘s goal in life is to protect sheep, goats, livestock, people, children, grass, flowers, the moon, the lawn furniture, bird feeders, and any real or imaginary predators that may intrude on your personal space. Oh yeah, and to give, give, and give unconditional love."
greater-swiss-mountain-dog,"The Greater Swiss Mountain dog breed was developed to be an all-around working dog, herding cattle, pulling carts, and standing guard. These days, the Swissy enjoys life as a family pet, but because of his working heritage, he enjoys being busy."
greyador,"The Greyador is a mixed breed dog–a cross between the Labrador and Greyhound dog breeds. These pups fall into the medium-to-large size range. Gentle yet strong, Greyadors inherited some of the best traits from both of their parents."
greyhound,"Greyhounds were originally bred as hunting dogs to chase hare, foxes, and deer. Canines in this dog breed can reach speeds of 40 to 45 miles per hour, making them the Ferraris of the dog world."
hamiltonstovare,"The Hamiltonstovare is a purebred dog from Sweden. These agile, affectionate, active pups have some of the best dog qualities of any dog breed around today."
hanoverian-scenthound,"The Hanoebred verian Scenthound is a purdog originating from Germany. They are loyal, independent, and calm pups who have some of the best qualities of most dog breeds around today."
harrier,"Harriers originally were bred to hunt hares and foxes. Today, the dog breed isn’t especially popular, but their excellent sense of smell and tireless work ethic make them a great fit for hunters."
havanese,"The Havanese dog breed has won many admirers with their long, silky hair, expressive eyes, and cuddly size. Bred as a companion dog to the Cuban aristocracy in the 1800s, they’ve earned the nickname “Velcro dog” because they stick so closely to their owner’s side."
hokkaido,"The Hokkaido is a purebred dog from Japan. Intelligent, alert, and devoted to their families, these pooches have qualities that make them excellent companions."
horgi,"The Horgi is a mixed breed dog — a cross between the Siberian Husky and Corgi dog breeds. Small, playful and full of energy, these pups inherited some of the best qualities from both of their parents."
hovawart,"The Hovawart dog breed was developed in Germany as a guard dog, and they were also used for tracking. Today, this breed is a companion and family dog. But they also work in search and rescue and as guard dogs."
huskita,"The Huskita is a mixed breed dog — a cross between the Akita and Siberian Husky dog breeds. Large, energetic, and loyal, these pups inherited some of the best qualities from both of their parents."
huskydoodle,"The Huskydoodle is a mixed breed dog–a cross between the Siberian Husky and Poodle dog breeds. Highly intelligent, full of energy, and sociable, these pups inherited some of the best traits from both of their parents."
ibizan-hound,"The Ibizan Hound was originally bred to hunt rabbits and small game on the Balearic island of Ibiza. Today, the Ibizan Hound dog breed is still used in that capacity in Spain and elsewhere. Ibizan Hounds also compete in lure coursing, agility, obedience, conformation, and tracking, in addition to being much-loved family companions."
icelandic-sheepdog,"Thought to be companions to the ancient Vikings, the Icelandic Sheepdog breed was used to protect flocks, especially lambs, from birds of prey. They still retain the habit of watching the sky and barking at birds — as well as everything else they see or hear."
irish-red-and-white-setter,The Irish Red and White Setter dog breed barely escaped extinction when most breeders began focusing on the all-red varieties. Now they’re considered a separate breed from their Irish Setter cousins.
irish-setter,"Irish Setters originated as a gundogs in their native Ireland, and the dog breed‘s popularity soon spread, thanks to the beauty of their rich mahogany coat and their enthusiasm as bird dogs."
irish-terrier,"The Irish Terrier dog breed was once described as the “poor man’s sentinel, the farmer’s friend, and the gentleman’s favorite.” Rugged and stouthearted, they have the advantages of a convenient size, versatile abilities as a companion, watchdog, and vermin dispatcher, and high train-ability."
irish-water-spaniel,"Whether they’re splashing after ducks or showing off in the agility ring, canines of the Irish Water Spaniel dog breed do everything with a sense of fun. Created in Ireland as a water retriever, they’re rare these days but make excellent companions for active and experienced dog owners, especially if they live near a body of water."
irish-wolfhound,"The Irish Wolfhound dog breed was originally used in war to drag men off horses and chariots. They also hunted large game such as deer, boar, and wolves. Today this adaptable dog is a family companion who also competes in obedience, tracking, and lure coursing."
italian-greyhound,"The Italian Greyhound dog breed was a favorite companion of noblewomen in the Middle Ages, especially in Italy. But this small hound was more than a lapdog, having the speed, endurance, and determination to hunt small game. These days, they’re a family dog whose beauty and athleticism is admired in the show ring and in obedience, agility, and rally competitions."
jack-a-poo,"The Jack-A-Poo is mixed breed dog–a cross between the Jack Russell Terrier and Poodle dog breeds. Generally the Poodle parent is Miniature or Toy sized, as opposed to Standard. Affectionate, lively, and intelligent, Jack-A-Poos are energetic pups who make great family dogs."
jack-chi,"The Jack Chi is a mixed breed dog — a cross between the Jack Russell Terrier and Chihuahua dog breeds. Friendly, playful, and energetic, these pups inherited some of the best qualities from both of their parents."
jack-russell-terrier,"Developed in England some 200 years ago to hunt foxes, the Jack Russell Terrier, also known as the Parson Russell Terrier, is a lively, independent, and clever little dog. They’re charming and affectionate, but they’re also a handful to train and manage. For experienced dog parents only!"
jackshund,"The Jackshund is a mixed breed dog–a cross between the Jack Russell Terrier and Dachshund dog breeds. Affectionate, lively, and playful, these pups inherited some of the best traits from two very different parents. The mix of different personalities and appearances will make for a fun, attractive dog!"
japanese-chin,"The Japanese Chin dog breed hails from Asia, where they’ve been prized as a companion for more than a thousand years. They were a popular member of Chinese and Japanese imperial courts, and it was in Japan that their distinctive look was developed."
japanese-spitz,"The Japanese Spitz is a small family companion with the heart of a large watchdog. This breed may look similar to American Eskimo Dogs, white Pomeranians, or small Samoyeds, but Japanese Spitzes have their own lineages and hail from, as you might guess, Japan. Although the American Kennel Club does not recognize this breed, many other kennel clubs around the world accept them."
jindo,"Originating in South Korea, the Korean Jindo Dog exhibits unmatched loyalty. They are also incredibly intelligent dogs with a knack for hunting, tricks, and even agility. Fastidious and quiet indoors, they make great household pets and companions."
kai-ken,"The Kai Ken was discovered in the mountains of Kai, right near Mt. Fuji. Believed to be one of the purest and most ancient dog breeds of Japan, this rare dog is a skilled hunter and highly intelligent. Today, advocates of the breed work tirelessly to build up the dogs’ small population, especially in the United States and Japan."
karelian-bear-dog,"The Karelian Bear Dog, called Karjalankarhukoira in the breed’s native Finland, is a strong, alert, and fearless breed that is capable of hunting or treeing small-to-large game — even aggressive game such as bears, lynxes, wild boars, wolves, and moose. It makes the list of the ten most common dog breeds in Finland, where people consider them a national treasure."
keeshond,"The Keeshond is an old dog breed, once a companion and watchdog on the barges and boats that traveled the canals and rivers of Holland in the 17th and 18th centuries. He’s almost exclusively a companion dog today."
kerry-blue-terrier,"The Kerry Blue Terrier is the quintessential working dog. They hail from County Kerry, Ireland, where they were bred to hunt small game and birds, kill rodents, and herd sheep and cattle. Intelligent and brave, they became a cherished pet as well, displaying fierce devotion to their family or pack."
king-shepherd,"The King Shepherd is a hard working, loyal companion dog. Confident and strong, their huge size would be a pretty big deterrent for any would-be predator. King Shepherds are protective of their families, but they’re not aggressive dogs."
kishu-ken,"Almost exclusive to Japan, the Kishu Ken is an ancient dog breed once used for hunting large game like boar. Some are still used as hunting dogs, but for the most part, the modern day Kishu Ken is a family dog in Japan, and they’ve started to grow in popularity in the United States, as well."
komondor,"Although the Komondor’s appearance might make you think they were developed to mop floors, this pooch has a long and noble heritage as a flock-guarding dog breed in their native Hungary. They still retain a strong protective instinct and will defend their family and property with their life."
kooikerhondje,"The good-natured Kooikerhondje hunting dog breed makes an affectionate family companion. Suspected to be an ancestor of the Nova Scota Duck Tolling Retriever, they hail from Holland and were used to lure ducks into traps for hunting or tagging. They still serve as hunting dogs, but also excel at other dog sports such as flyball."
kuvasz,"The Kuvasz is a large, white, flock-guarding dog who hails from Hungary. A one-family dog, they’re protective of their people and suspicious of strangers. Dogs of this breed think for themselves and can be challenging to train."
kyi-leo,"The Kyi-Leo is a mixed breed dog — a cross between the Maltese and Lhasa Apso dog breeds. Playful, lively, and sweet, these pups inherited some of the best qualities from both of their parents."
lab-pointer,"The Lab Pointer is a mixed breed dog — a cross between the Labrador Retriever and Pointer dog breeds. Energetic, loyal, and intelligent, these pups inherited some of the best qualities from both of their parents."
labernese,"The Labernese is a mixed breed dog — a cross between the Labrador Retriever and Bernese Mountain Dog breeds. Loving, intelligent, and friendly, these pups inherited some of the best qualities from both of their parents."
labmaraner,"The Labmaraner is a mixed breed dog — a cross between the Labrador Retriever and Weimaraner dog breeds. Intelligent, active, and friendly, these pups inherited some of the best qualities from both of their parents."
labrabull,"The Labrabull is a mixed breed dog — a cross between the American Pit Bull Terrier and the Labrador Retriever dog breeds. Medium in size, energetic, and loyal, these pups inherited some of the best qualities from both of their parents."
labradane,"The Labradane is a mixed breed dog — a cross between the Labrador Retriever and Great Dane dog breeds. Loyal, affectionate, and playful, these pups inherited some of the best qualities from both of their parents."
labradoodle,"It’s not surprising that the Labradoodle has gained such popularity so quickly. Originally developed to be hypoallergenic guide dogs, the first planned crosses of Poodles and Labrador Retrievers were arranged by the Royal Guide Dogs Association of Australia."
labrador-retriever,"The Labrador Retriever was bred to be both a friendly companion and a useful working dog breed. Historically, they earned their keep as fishermen’s helpers: hauling nets, fetching ropes, and retrieving fish from the chilly North Atlantic."
labrastaff,"The Labrastaff is a mixed breed dog — a cross between the Labrador Retriever and Staffordshire Bull Terrier dog breeds. Athletic, loyal, and intelligent, these pups inherited some of the best qualities from both of their parents."
labsky,"The Labsky is a mixed breed dog — a cross between the Labrador Retriever and Siberian Husky dog breeds. Active, smart, and loyal, these pups inherited some of the best qualities from both of their parents."
lagotto-romagnolo,"Lagotto Romagnolo means “lake dog from Romagna,” which is a good name for this breed, considering these dogs originally helped hunt waterfowl through the wet marshlands of Romagna in Italy."
lakeland-terrier,"Lakeland Terriers were originally bred to hunt the foxes that preyed on sheep during the lambing season in Northern England’s Lake District. Today’s Lakies, as these lively, feisty little dogs are nicknamed, are affectionate, friendly, and self-confident."
lancashire-heeler,"The Lancashire Heeler was once used to drive livestock to market and hunt rats and rabbits at home. Now, they’re a popular companion dog breed in their native Britain."
leonberger,"The jumbo-sized Leonberger dog breed is a mix of the Newfoundland, longhaired Saint Bernard, and Great Pyrenees."
lhasa-apso,"The Lhasa Apso dog breed is originally from Tibet, where they were highly regarded watchdogs in the palaces and monasteries of their mountainous homeland. Today’s Lhasa is no longer a palace guard but primarily a family companion who loyally protects their family from danger."
lhasapoo,"The Lhasapoo is a mixed breed dog–a cross between the Lhasa Apso and Poodle dog breeds. Protective, loyal, and playful, these pups inherited some of the best qualities from both of their parents."
lowchen,"The Lowchen is a toy dog breed developed as a companion dog and still finds itself in this role today. Active and smart, they do very well in dog competitions such as obedience and agility, and they surpass the expectations that many have for a family companion."
maltese,"A gentle and fearless dog breed, the Maltese greets everyone as a friend. Their glamorous white coat gives them a look of haughty nobility, but looks can be deceiving."
maltese-shih-tzu,"The Maltese Shih Tzu, also known as the Mal-Shi, Malti zu, and the Malt-Tzu, is a hybrid or mixed dog breed — a cross between the Maltese and Shih Tzu breeds. Created with the same goal as Doodles — to be a small, allergy-friendly companion who doesn’t shed much — this hybrid is a sweet lapdog who likes to play with the kids."
maltipoo,"Not actually a dog breed per se, the Maltipoo is a popular cross of the Maltese and Poodle, known for their fun-loving and affectionate nature. Active and charming, they’ll fit into all kinds of homes: apartment or house, family with kids or elderly single."
manchester-terrier,"The lively, spirited Manchester Terrier dog breed is a true terrier. Bred in Manchester, England for ratting and rabbit coursing, this dog has game and they love to show it. The Gentleman’s Terrier (as they’re known in Victorian England) is not a sparring dog but loves a good chase. This makes them a flyball and agility rock star."
maremma-sheepdog,"The Maremma Sheepdog is considered an “Old World European” breed, sharing ancestry with other Eastern European livestock guardian dogs, especially mountain-dwelling dogs, like the Pyrenean Mountain Dog and Kuvasz. Maremma Sheepdogs can be traced back at least to ancient Roman times. Originally bred in Italy, they are still very popular there, and their original purpose continues on: to guard livestock."
mastador,"The Mastador is a mixed breed dog — a cross between the Mastiff and Labrador Retriever dog breeds. Large, energetic, and lovable, these pups inherited some of the best qualities from both of their parents."
mastiff,"The Mastiff is one of the most ancient types of dog breeds. Their ancestor, the Molossus, was known 5,000 years ago. Back then, they were ferocious war dogs, very different from the benevolent behemoth that the breed is today."
miniature-pinscher,"The Miniature Pinscher dog breed was originally bred in Germany to hunt vermin, primarily rats, in homes and stables. Many people think that they were developed by breeding Dobermans to progressively smaller sizes, and indeed, they look similar to Dobermans. However, the Min Pin is a distinct and much older breed."
miniature-schnauzer,"The Miniature Schnauzer dog breed has it all in one small package: intelligence, affection, an extroverted temperament, humor, and a personality that’s twice as big as their bodies. Throw in that walrus mustache and quivering enthusiasm, and they’ll make you laugh every day."
morkie,"The Morkie is a mixed breed dog–a cross between the Maltese and the Yorkshire Terrier dog breeds. Small, energetic, and super silly, these pups inherited some of the best qualities from both their parents."
mountain-cur,"The Mountain Cur dog breed originated in the mountains of Kentucky and Tennessee. They were a major part of the early settlers’ lives and helped their humans while they developed farms in mountainous, rural, southern regions. They acted as watchdogs on farms, assisted with hunting, and even herded livestock. Dogs of this breed still perform those same tasks today among other jobs, including being loyal companions."
mudi,"Alert, active, and smart, the Mudi (pronounced “moody”) is a highly trainable herding dog who can perform almost any task well. That includes watchdog duties, hunting, agility and obedience competitions, search and rescue, and more."
mutt,"A Mutt or mixed breed dog is a testament to nature. Without any input — some might say interference — from humans, the mixed breed defies description. Available in all sizes, shapes, colors, and patterns, they might have a long snout or a short nose. They may display pointed ears or floppy ones. They could have a stubby tail, spindly legs, a giant spot over their left eye — or all three."
neapolitan-mastiff,The Neapolitan Mastiff dog breed was developed in southern Italy as a family and guard dog. Today this massive breed is known as a gentle giant.
newfoundland,"The Newfoundland is a large, strong dog breed from—wait for it—Newfoundland. They were originally used as a working dog to pull nets for fishermen and haul wood from the forest."
norfolk-terrier,"The Norfolk Terrier is what’s considered a “big dog in a small package.” Alert, gregarious, and nimble, they’re a loyal companion with the heart of a working terrier."
northern-inuit-dog,"The Northern Inuit Dog is a hybrid breed with a debated background, but most agree that the Husky, Malamute, and German Shepherd Dog are part of their ancestry. Other theories include Samoyeds and Canadian Eskimo Dogs.  Though their origin is a mix, they’re now only bred with other Northern Inuit Dogs by breeders seeking to secure purebred status for this hybrid. Calm, friendly, and intelligent, these dogs may be a great addition to your family."
norwegian-buhund,"Intelligent, independent, and eager to please, the Norwegian Buhund dog breed can handle all kinds of dog jobs and sports with ease. They need lots of exercise and attention, and they’re quick learners."
norwegian-elkhound,"The gorgeous Norwegian Elkhound dog breed, with their wolf-like face, delights in life. Smart as can be, they also have a wonderful sense of humor. They’ll race you around the kitchen island, reverse directions when you do, and then howl for sheer fun."
norwegian-lundehund,"With six toes on each foot — all of them double- or triple-jointed — and an amazing range of motion, the agile Norwegian Lundehund dog breed was used to scale cliffs and rob puffin nests of their eggs."
norwich-terrier,"The Norwich Terrier originated as a ratter on farms but moved up in the world to bolt foxes from their dens during hunts. Today, they’re amusing companions who serve double duty by keeping your home and yard free of rats and other vermin."
nova-scotia-duck-tolling-retriever,"The Nova Scotia Duck Tolling Retriever dog breed was created to both lure and retrieve waterfowl. This versatile breed excels in the field and show ring, in obedience and agility, and as a companion to an active family."
old-english-sheepdog,"The Old English Sheepdog is a large, athletic dog breed with an unmistakable shaggy coat. The OES, as fans call the breed for short, was historically a drover, helping farmers drive cattle and sheep to the market. Today, this good-natured dog enjoys the comfort of home life and still competes in conformation, obedience, agility, and herding trials."
otterhound,"The large and rough-coated Otterhound was originally bred for hunting otter in England. Built for work, the dog breed has a keen nose and renowned stamina."
papillon,"The Papillon dog breed descends from the toy spaniels that are frequently portrayed in paintings by the Old Masters, from as far back as the 16th century. They’re highly active and wonderful competitors in agility and obedience."
papipoo,"The Papipoo is a mixed breed dog — a cross between the Papillon and Poodle dog breeds. Loving, intelligent, and active, this devoted, little dog wants to be part of all family activities."
patterdale-terrier,"The spunky and energetic Patterdale Terrier is a very popular dog in the United States but originated in the United Kingdom. Compact, confident, and independent, this beloved dog was originally bred to hunt foxes and rabbits."
peekapoo,A Peekapoo is hybrid dog breed — a cross between the Pekingese and Poodle breeds. The mix makes for a wonderful companion dog who will spend their days perched on your lap or sitting by your side.
pekingese,Pekingese dogs were bred for centuries to be the cherished companions of the imperial family of China. Today they’re still cherished family companions and show dogs who greet everyone they meet with dignity and grace.
pembroke-welsh-corgi,"Originally bred to herd cattle, sheep, and horses, the Pembroke Welsh Corgi is an active and intelligent dog breed. Easy to train and eager to learn, Pembrokes are great with children and other pets, and you can find them in four different coat colors and markings."
petit-basset-griffon-vendeen,"The Petit Basset Griffon Vendéen is a small scent hound who has won the hearts of millions. Although the dog breed appears to be designed for winsome cuteness, in actuality, PBGVs are tough hunters who were developed for a specific purpose: to hunt small game in the rough terrain of the Vendeen region of France. The breed is known for a merry and outgoing personality."
pharaoh-hound,"The Pharaoh Hound is an ancient dog breed that’s changed little since their development more than 5,000 years ago. They were the dogs of kings and may have hunted gazelles with pharaohs, hence their name. This loyal hunting companion later made their way to Malta, where they’re now the national dog."
pitsky,"The Pitsky is a mixed breed dog — a cross between the American Pit Bull Terrier and Siberian Husky dog breeds. They range in size from medium to large, they are energetic, and loyal, these pups inherited some of the best qualities from both of their parents."
plott,The pack-hunting Plott dog breed was developed in North Carolina more than 200 years ago to hunt bear and wild boar. They are still used as hunting dogs today and have proven their worth as pack hunters. They also participate in tracking and other dog sports.
pocket-beagle,"Smaller than the average Beagle dog breed, these compact scenthounds are merry and fun-loving. But the Pocket Beagle is still a hound and, as such, requires patience and creative training techniques to overcome their sometimes stubborn nature."
pointer,"Bred for several hundred years to “point” birds and small game such as rabbits, the Pointer is a versatile field dog and exceptional family dog breed. They excel in many arenas, from the field to the show ring, agility to obedience."
polish-lowland-sheepdog,"Originally bred for herding and guarding, the Polish Lowland Sheepdog is still an excellent working dog breed. They’re obedient and fearless, good-natured with people and other dogs, but highly protective of their flock."
pomapoo,"The Pomapoo is a mixed breed dog — a cross between the Pomeranian and Toy Poodle dog breeds. Compact, intelligent, and affectionate, these pups inherited some of the best qualities from both of their parents."
pomchi,"The Pomchi is a mixed-breed dog — a cross between the Pomeranian and the Chihuahua dog breeds. Playful, devoted, and energetic, these small pups inherited some of the best qualities from both of their parents."
pomeagle,"The Pomeagle is a mixed breed dog — a cross between the Pomeranian and Beagle dog breeds. Small, affectionate, and curious by nature, these pups inherited some of the best qualities from both of their parents."
